Quarter,Sales,Fuel_Type,Treated_Group,Post_Policy,DiD,Total_Charging_Devices,charger_x_post
2014Q3,1980,BEV,1,0,0,,
2014Q4,2228,BEV,1,0,0,,
2015Q1,2693,BEV,1,0,0,,
2015Q2,2083,BEV,1,0,0,,
2015Q3,2303,BEV,1,0,0,,
2015Q4,3012,BEV,1,0,0,,
2016Q1,3210,BEV,1,0,0,,
2016Q2,2138,BEV,1,0,0,,
2016Q3,2881,BEV,1,0,0,,
2016Q4,2200,BEV,1,0,0,,
2017Q1,4711,BEV,1,0,0,,
2017Q2,3136,BEV,1,0,0,,
2017Q3,3500,BEV,1,0,0,,
2017Q4,2566,BEV,1,0,0,,
2018Q1,4132,BEV,1,0,0,,
2018Q2,3556,BEV,1,0,0,,
2018Q3,3847,BEV,1,0,0,,
2018Q4,4221,BEV,1,0,0,,
2019Q1,6056,BEV,1,0,0,,
2019Q2,6328,BEV,1,0,0,,
2019Q3,12859,BEV,1,0,0,,
2019Q4,12764,BEV,1,0,0,,
2020Q1,18291,BEV,1,0,0,,
2020Q2,12731,BEV,1,0,0,,
2020Q3,35630,BEV,1,0,0,,
2020Q4,41261,BEV,1,0,0,,
2021Q1,31715,BEV,1,0,0,,
2021Q2,42060,BEV,1,0,0,,
2021Q3,51116,BEV,1,0,0,,
2021Q4,65529,BEV,1,0,0,,
2022Q1,64164,BEV,1,1,1,29583,29583
2022Q2,50946,BEV,1,1,1,31855,31855
2022Q3,60335,BEV,1,1,1,33693,33693
2022Q4,91430,BEV,1,1,1,36416,36416
2023Q1,76127,BEV,1,1,1,38737,38737
2023Q2,76686,BEV,1,1,1,43252,43252
2023Q3,85523,BEV,1,1,1,48187,48187
2023Q4,75813,BEV,1,1,1,52602,52602
2024Q1,84327,BEV,1,1,1,56983,56983
2024Q2,82773,BEV,1,1,1,62418,62418
2024Q3,102657,BEV,1,1,1,67980,67980
2024Q4,111835,BEV,1,1,1,72271,72271
