Quarter,Sales,Fuel_Type,Treated_Group,Post_Policy,DiD
2014Q3,1980,BEV,1,0,0
2014Q3,664843,ICE,0,0,0
2014Q4,510710,ICE,0,0,0
2014Q4,2228,BEV,1,0,0
2015Q1,2693,BEV,1,0,0
2015Q1,719615,ICE,0,0,0
2015Q2,630381,ICE,0,0,0
2015Q2,2083,BEV,1,0,0
2015Q3,709025,ICE,0,0,0
2015Q3,2303,BEV,1,0,0
2015Q4,528042,ICE,0,0,0
2015Q4,3012,BEV,1,0,0
2016Q1,3210,BEV,1,0,0
2016Q1,754573,ICE,0,0,0
2016Q2,634974,ICE,0,0,0
2016Q2,2138,BEV,1,0,0
2016Q3,714119,ICE,0,0,0
2016Q3,2881,BEV,1,0,0
2016Q4,529430,ICE,0,0,0
2016Q4,2200,BEV,1,0,0
2017Q1,792791,ICE,0,0,0
2017Q1,4711,BEV,1,0,0
2017Q2,560840,ICE,0,0,0
2017Q2,3136,BEV,1,0,0
2017Q3,635169,ICE,0,0,0
2017Q3,3500,BEV,1,0,0
2017Q4,454098,ICE,0,0,0
2017Q4,2566,BEV,1,0,0
2018Q1,687375,ICE,0,0,0
2018Q1,4132,BEV,1,0,0
2018Q2,3556,BEV,1,0,0
2018Q2,563914,ICE,0,0,0
2018Q3,561822,ICE,0,0,0
2018Q3,3847,BEV,1,0,0
2018Q4,432527,ICE,0,0,0
2018Q4,4221,BEV,1,0,0
2019Q1,6056,BEV,1,0,0
2019Q1,667276,ICE,0,0,0
2019Q2,6328,BEV,1,0,0
2019Q2,538391,ICE,0,0,0
2019Q3,12859,BEV,1,0,0
2019Q3,548803,ICE,0,0,0
2019Q4,12764,BEV,1,0,0
2019Q4,407776,ICE,0,0,0
2020Q1,18291,BEV,1,0,0
2020Q1,421538,ICE,0,0,0
2020Q2,138424,ICE,0,0,0
2020Q2,12731,BEV,1,0,0
2020Q3,35630,BEV,1,0,0
2020Q3,473534,ICE,0,0,0
2020Q4,279617,ICE,0,0,0
2020Q4,41261,BEV,1,0,0
2021Q1,31715,BEV,1,0,0
2021Q1,314539,ICE,0,0,0
2021Q2,339820,ICE,0,0,0
2021Q2,42060,BEV,1,0,0
2021Q3,51116,BEV,1,0,0
2021Q3,255844,ICE,0,0,0
2021Q4,198573,ICE,0,0,0
2021Q4,65529,BEV,1,0,0
2022Q1,251946,ICE,0,1,0
2022Q1,64164,BEV,1,1,1
2022Q2,242320,ICE,0,1,0
2022Q2,50946,BEV,1,1,1
2022Q3,242879,ICE,0,1,0
2022Q3,60335,BEV,1,1,1
2022Q4,215796,ICE,0,1,0
2022Q4,91430,BEV,1,1,1
2023Q1,76127,BEV,1,1,1
2023Q1,286422,ICE,0,1,0
2023Q2,76686,BEV,1,1,1
2023Q2,254490,ICE,0,1,0
2023Q3,258734,ICE,0,1,0
2023Q3,85523,BEV,1,1,1
2023Q4,228087,ICE,0,1,0
2023Q4,75813,BEV,1,1,1
2024Q1,84327,BEV,1,1,1
2024Q1,273414,ICE,0,1,0
2024Q2,82773,BEV,1,1,1
2024Q2,212629,ICE,0,1,0
2024Q3,102657,BEV,1,1,1
2024Q3,212755,ICE,0,1,0
2024Q4,162279,ICE,0,1,0
2024Q4,111835,BEV,1,1,1
