Quarter,BEV_Sales,,Year,Battery Price (USD/kWh),Battery Price (GBP/kWh)
2026Q4,,,2026,80,61.3
2026Q3,,,2026,80,61.3
2026Q2,,,2026,80,61.3
2026Q1,,,2026,80,61.3
2025Q4,,,2025,111,85.1
2025Q3,,,2025,111,85.1
2025Q2,,,2025,111,85.1
2025Q1,,,2025,111,85.1
2024Q4,111835,,2024,115,90.311685
2024Q3,102657,,2024,115,90.311685
2024Q2,82773,,2024,115,90.311685
2024Q1,84327,,2024,115,90.311685
2023Q4,75813,,2023,144,113.085936
2023Q3,85523,,2023,144,113.085936
2023Q2,76686,,2023,144,113.085936
2023Q1,76127,,2023,144,113.085936
2022Q4,91430,,2022,166,130.362954
2022Q3,60335,,2022,166,130.362954
2022Q2,50946,,2022,166,130.362954
2022Q1,64164,,2022,166,130.362954
2021Q4,65529,,2021,155,121.724445
2021Q3,51116,,2021,155,121.724445
2021Q2,42060,,2021,155,121.724445
2021Q1,31715,,2021,155,121.724445
2020Q4,41261,,2020,165,129.577635
2020Q3,35630,,2020,165,129.577635
2020Q2,12731,,2020,165,129.577635
2020Q1,18291,,2020,165,129.577635
2019Q4,12764,,2019,189,148.425291
2019Q3,12859,,2019,189,148.425291
2019Q2,6328,,2019,189,148.425291
2019Q1,6056,,2019,189,148.425291
2018Q4,4221,,2018,218,171.199542
2018Q3,3847,,2018,218,171.199542
2018Q2,3556,,2018,218,171.199542
2018Q1,4132,,2018,218,171.199542
2017Q4,2566,,2017,266,208.894854
2017Q3,3500,,2017,266,208.894854
2017Q2,3136,,2017,266,208.894854
2017Q1,4711,,2017,266,208.894854
2016Q4,2200,,2016,356,279.573564
2016Q3,2881,,2016,356,279.573564
2016Q2,2138,,2016,356,279.573564
2016Q1,3210,,2016,356,279.573564
2015Q4,3012,,2015,463,363.602697
2015Q3,2303,,2015,463,363.602697
2015Q2,2083,,2015,463,363.602697
2015Q1,2693,,2015,463,363.602697
