Date,Petrol_Price_ppl,Diesel_Price_ppl
2018Q1,119.23,122.9
2018Q2,127.18,131.27
2018Q3,130.59,134.77
2018Q4,120.18,130.26
2019Q1,120.83,131.15
2019Q2,126.66,131.81
2019Q3,126.92,131.83
2019Q4,124.96,130.54
2020Q1,112.45,118.6
2020Q2,108.31,114.1
2020Q3,113.3,118.14
2020Q4,114.91,119.65
2021Q1,125.13,129.32
2021Q2,130.73,134.27
2021Q3,135.19,137.95
2021Q4,144.92,148.82
2022Q1,162.65,176.44
2022Q2,190.93,198.93
2022Q3,164,180.46
2022Q4,151.94,175.52
2023Q1,146.21,165.18
2023Q2,143.43,145.65
2023Q3,155.41,160.61
2023Q4,140.33,149.24
2024Q1,145.06,153.9
2024Q2,144.43,150.12
2024Q3,134.17,138.85
2024Q4,136.49,142.98
2025Q1,134.91,142.26
2025Q2,132.01,138.41
